timeframe,period,entry_time,exit_time,direction,entry_price,exit_price,gross_pnl_pips,cost_pips,net_pnl_pips,holding_bars,short_window,long_window,entry_delay_bars,exit_reason
60m,full_2023_2025,2024-07-16 18:00:00,2024-07-17 08:00:00,long,158.472,157.07,-140.20000000000152,1.0,-141.20000000000152,14,20,80,0,signal_flip
60m,full_2023_2025,2024-07-17 08:00:00,2024-07-19 11:00:00,short,157.07,157.455,-38.50000000000193,1.0,-39.50000000000193,51,20,80,0,signal_flip
60m,full_2023_2025,2024-07-19 11:00:00,2024-07-23 00:00:00,long,157.455,156.901,-55.400000000000205,1.0,-56.400000000000205,37,20,80,0,signal_flip
60m,full_2023_2025,2024-07-23 00:00:00,2024-07-29 04:00:00,short,156.901,153.517,338.40000000000146,1.0,337.40000000000146,100,20,80,0,signal_flip
60m,full_2023_2025,2024-07-29 04:00:00,2024-07-29 05:00:00,long,153.517,153.412,-10.499999999998977,1.0,-11.499999999998977,1,20,80,0,signal_flip
60m,full_2023_2025,2024-07-29 05:00:00,2024-07-29 14:00:00,short,153.412,154.174,-76.20000000000005,1.0,-77.20000000000005,9,20,80,0,signal_flip
60m,full_2023_2025,2024-07-29 14:00:00,2024-07-31 02:00:00,long,154.174,152.411,-176.30000000000052,1.0,-177.30000000000052,36,20,80,0,signal_flip
60m,full_2023_2025,2024-07-31 02:00:00,2024-08-07 09:00:00,short,152.411,147.201,521.0000000000008,1.0,520.0000000000008,127,20,80,0,signal_flip
60m,full_2023_2025,2024-08-07 09:00:00,2024-08-12 08:00:00,long,147.201,147.217,1.6000000000019554,1.0,0.6000000000019554,71,20,80,0,signal_flip
60m,full_2023_2025,2024-08-12 08:00:00,2024-08-12 10:00:00,short,147.217,147.318,-10.099999999999909,1.0,-11.099999999999909,2,20,80,0,signal_flip
60m,full_2023_2025,2024-08-12 10:00:00,2024-08-14 02:00:00,long,147.318,146.867,-45.10000000000218,1.0,-46.10000000000218,40,20,80,0,signal_flip
